time	size
0.19064322499980332	20000000
0.28548009999940405	30000000
0.3809428790009406	40000000
0.4753092559985817	50000000
0.5760740810001153	60000000
0.6781108110008063	70000000
0.7605488779990992	80000000
0.8592611780004518	90000000
0.9548110030009412	100000000
1.042746424998768	110000000
1.1478701279993402	120000000
1.2343296170001852	130000000
1.3562114650012518	140000000
1.4317366370014497	150000000
1.5226880390000588	160000000
1.638614637999126	170000000
1.756652394997218	180000000
1.8485853599995608	190000000
1.9105869519989935	200000000
1.9972875730018127	210000000
2.165585239999928	220000000
2.24259640499804	230000000
2.319948555999872	240000000
2.4042440640005225	250000000
2.580849802998273	260000000
2.5841187200021523	270000000
2.702173900001071	280000000
2.8728617029992165	290000000
