time	size
0.729494892002549	10000000
1.5301967349987535	20000000
2.2648536779997808	30000000
2.659751475002849	40000000
3.854018246998749	50000000
3.778569099999004	60000000
5.221434598999622	70000000
5.341641090002668	80000000
5.899444647002382	90000000
6.5484230810034205	100000000
7.083855831002438	110000000
7.780903238002793	120000000
8.328220606003015	130000000
9.210735590000695	140000000
10.295564568001284	150000000
11.043107795001562	160000000
12.09968803800075	170000000
12.798359503998654	180000000
13.371671250002693	190000000
14.486586587001511	200000000
