time	size
1.0190933649973886	10000000
1.6420414399981382	20000000
2.487252086000808	30000000
3.3157652030022287	40000000
4.384182582001813	50000000
4.943223600999771	60000000
6.039554860999488	70000000
6.510799862000568	80000000
7.312244385997475	90000000
8.555589347000932	100000000
8.935316056002193	110000000
9.793162484998902	120000000
10.922416121000424	130000000
11.347828616002516	140000000
12.794932148000953	150000000
13.236705790997805	160000000
15.571359179000867	170000000
16.322270934997505	180000000
17.434186656002563	190000000
17.3686625679984	200000000
