time	threads	speedup
2.7749355930027377	1	1.0
1.4977445709992026	2	1.8527428820199108
0.980224171998998	3	2.8309193674991056
0.772004280002875	4	3.5944562289115853
0.5999869309998758	5	4.624993395069987
0.5155051679976168	6	5.382944275382251
0.4975619229990116	7	5.577065817812289
0.6350704420001421	8	4.369492594023321
0.5515842310014705	9	5.030846490960218
0.5349783470010152	10	5.187005434067544
0.4887478630007536	11	5.677642406384207
0.44832522400247404	12	6.189559374396086
0.4201449180000054	13	6.604710598933632
0.39486107300035655	14	7.02762511360605
0.42316715299966745	15	6.55754014301984
0.4415186389996961	16	6.284979495519434
