time	size
0.2047690910003439	20000000
0.379604483001458	30000000
0.4809561109977949	40000000
0.5102937199990265	50000000
0.6887228259984113	60000000
1.0181570339991597	70000000
0.8199771699983103	80000000
0.919079563998821	90000000
1.0248040489968844	100000000
1.2827136420019087	110000000
1.2240527530011605	120000000
1.3363418369990538	130000000
1.460929838001903	140000000
1.5351057420011784	150000000
1.674136745998112	160000000
1.959714908000024	170000000
1.8559965400017973	180000000
1.9919749000000595	190000000
2.1965934340005333	200000000
2.149726708001253	210000000
2.4133191350010748	220000000
2.474889674998849	230000000
2.473937622002268	240000000
2.5619814659985423	250000000
2.664193915999931	260000000
2.797860645001492	270000000
2.9287994469996192	280000000
3.0010030519988504	290000000
