time	threads	speedup
2.479990009000176	1	1.0
2.499810511002579	2	0.9920711982307594
2.4624393410013	3	1.0071273503905842
2.4964336230004847	4	0.9934131579350604
2.473377848000382	5	1.0026733323439196
2.692052361999231	6	0.9212265125327768
2.553445862999069	7	0.9712326565981632
2.490701935999823	8	0.9956992336799436
2.4925525819999166	9	0.9949599566763556
2.5315123330001366	10	0.9796476109050192
2.484009659001458	11	0.9983817897057218
2.5046052370016696	12	0.990172012883371
2.556956088003062	13	0.9698993348520912
2.4694547370017967	14	1.0042662340963453
2.4683821569997235	15	1.0047026154226302
2.526467521001905	16	0.9816037563850027
