time	size
0.03876831900197431	20000000
0.055195836997882004	30000000
0.06192455800191965	40000000
0.08640459600064787	50000000
0.10429386599935242	60000000
0.11438280800211942	70000000
0.1304610400002275	80000000
0.14567650000026333	90000000
0.17092317399874446	100000000
0.17586339999979828	110000000
0.20046044000264374	120000000
0.21134437500222705	130000000
0.2118977559985069	140000000
0.2616217350005172	150000000
0.2426243239970063	160000000
0.27724533600121504	170000000
0.3127663539999048	180000000
0.3450095340012922	190000000
0.3424246160029725	200000000
0.3632137979984691	210000000
0.3677978800005803	220000000
0.3940710010028852	230000000
0.4346491440010141	240000000
0.4302610220001952	250000000
0.42898185000012745	260000000
0.4876143190012954	270000000
0.4638379469979554	280000000
0.5057597020022513	290000000
