time	threads	speedup
2.6466656419979704	1	1.0
2.6561203240016766	2	0.9964404165284716
2.661802828999498	3	0.9943131824654278
2.716639728998416	4	0.9742424119571259
2.7414960290007	5	0.9654092561143351
2.6561702379985945	6	0.9964216917030942
2.6634993510015192	7	0.9936798524102438
2.6519248990007327	8	0.9980168152556868
2.670710151000094	9	0.990996960492654
2.7455451479982003	10	0.9639854744066678
2.688180377001117	11	0.9845565664572478
2.6228956060003843	12	1.0090625169919871
2.6395625959994504	13	1.0026909935794988
2.637987702000828	14	1.003289605933553
2.651866381002037	15	0.9980388382154828
2.657062635997136	16	0.99608703466064
