time	size
0.20423760400080934	20000000
0.3169116540011601	30000000
0.4143666710006073	40000000
0.5144207260018447	50000000
0.6195326779998139	60000000
0.7167108239991649	70000000
0.8134610540000722	80000000
0.9194687939998404	90000000
1.0271109250024892	100000000
1.1204860910002026	110000000
1.244826693997311	120000000
1.3370744530002412	130000000
1.4688175809969837	140000000
1.5427350549980474	150000000
1.6938139510020849	160000000
1.7620738199984771	170000000
1.921545582001272	180000000
1.9860905519999503	190000000
2.0635744989995146	200000000
2.18063785999766	210000000
2.357840157997998	220000000
2.3600070620013867	230000000
2.4900383399981365	240000000
2.645821934002015	250000000
2.6671170299996447	260000000
2.7860898010003443	270000000
2.8938987450019336	280000000
3.0631811290004407	290000000
