time	size
0.40429059700181824	20000000
0.548649774002115	30000000
0.6070971549997921	40000000
0.5451092289986263	50000000
0.5744212360004894	60000000
0.6701321069995174	70000000
0.8388643760008563	80000000
0.8607186699991871	90000000
1.1639175769996657	100000000
1.0462182970004503	110000000
1.143158877999667	120000000
1.2450678360000893	130000000
1.336580381001113	140000000
1.530921008998121	150000000
1.5392079960001863	160000000
1.6478889579993847	170000000
1.7530563650034308	180000000
1.87291232500138	190000000
2.0712092139983724	200000000
2.100676193000254	210000000
2.102531889999227	220000000
2.208578364999994	230000000
2.3245899169996846	240000000
2.4154320489979	250000000
2.5971566309999616	260000000
2.6187207350012613	270000000
2.679854986999999	280000000
2.9343175689973577	290000000
