time	threads	speedup
118.97164846299714	1	1.0
61.17562753399761	2	1.9447556691899899
39.87134347299798	3	2.9838886302782384
30.526193403999056	4	3.8973627300484615
24.434110453999892	5	4.869080406547861
20.863656649999033	6	5.702339261943455
18.017490607999207	7	6.603119771305855
15.83185811000294	8	7.514699009829303
20.563764262999033	9	5.785499529240675
18.793731931000366	10	6.330389775686473
17.50273590500001	11	6.797317237073232
16.471980701000575	12	7.222668033830947
17.235580463999213	13	6.9026772095955184
17.10548848000326	14	6.955173984190977
16.82319156399899	15	7.071883358779084
16.836594258998954	16	7.066253817894803
