time	threads	speedup
148.16810663299842	1	1.0
75.19114908999836	2	1.9705524975506343
50.71678056199744	3	2.92148091797495
38.63016728000002	4	3.835554362450545
30.579993175997515	5	4.845262907033503
26.165340707000727	6	5.662762365381888
22.702917590999277	7	6.52639054161658
21.96289404699928	8	6.7462924656435295
26.065653888003002	9	5.684419323207325
23.7851100279986	10	6.2294480226739575
22.061849690002422	11	6.7160328220413215
22.983328489001003	12	6.4467645190689575
22.010332824000216	13	6.731752210099925
21.94918340500226	14	6.750506563229619
21.47092349000013	15	6.900872554550633
21.510547900001253	16	6.888160511847758
