time	size
0.029518772997107586	20000000
0.04442914700121037	30000000
0.0524379050002608	40000000
0.06552176400145981	50000000
0.0741595050021715	60000000
0.09931588899780763	70000000
0.10032715300258133	80000000
0.12422595499810996	90000000
0.14715278199946624	100000000
0.15467612800057395	110000000
0.15577991199825192	120000000
0.18423460499980135	130000000
0.19725924999875133	140000000
0.19810382899959225	150000000
0.2354918650016771	160000000
0.21846431599988134	170000000
0.27147486999820103	180000000
0.3022562799997104	190000000
0.3138637720003317	200000000
0.3086282290023519	210000000
0.3177105050017417	220000000
0.33750683999824105	230000000
0.35796212000059313	240000000
0.3489565039999434	250000000
0.3733110309985932	260000000
0.4001294270019571	270000000
0.4021537860026001	280000000
0.4176051920003374	290000000
