time	size
0.032166782999411225	10000000
0.06317413799843052	20000000
0.1195186670011026	30000000
0.13213261499913642	40000000
0.1498048529974767	50000000
0.2020060030008608	60000000
0.2212725679964933	70000000
0.2460452989980695	80000000
0.3526807939997525	90000000
0.3024558919969422	100000000
0.3325322770033381	110000000
0.3695699549971323	120000000
0.4040392179995251	130000000
0.4595314540019899	140000000
0.4565239580006164	150000000
0.6391692249999323	160000000
0.5445106080005644	170000000
0.6727231269978802	180000000
0.6280623050006398	190000000
0.7988991000020178	200000000
0.6413531859980139	210000000
0.7839668340020579	220000000
0.94824304100257	230000000
0.7954033620007976	240000000
0.8790611990007164	250000000
1.0300162020030257	260000000
0.8676935500006948	270000000
1.0085389949999808	280000000
1.132989591002115	290000000
