time	threads	speedup
2.3118808230028662	1	1.0
1.183128470001975	2	1.9540403951221008
0.8752741979988059	3	2.641321803257384
0.6340716739978234	4	3.6460875289168055
0.4893750750015897	5	4.724149105868042
0.4289673620005488	6	5.389409609675408
0.5238302050020138	7	4.41341641036904
0.5634864389976428	8	4.102815370526668
0.4362434720023885	9	5.29951958339037
0.4491937040002085	10	5.1467346991172285
0.3814894929964794	11	6.0601428491353015
0.3768530120032665	12	6.1347017255173935
0.3469101619994035	13	6.664206115146438
0.35484767500020103	14	6.515135890355086
0.3379145610015257	15	6.8416135018000235
0.38028714200117975	16	6.079303157180356
