time	threads	speedup
5.75162759000159	1	1.0
2.8987649850023445	2	1.9841648494305024
1.9272568320011487	3	2.98435968392933
1.4508050639997236	4	3.9644385953168175
1.16456055800154	5	4.938882353934217
1.0221015400020406	6	5.627256554167904
0.8368340550005087	7	6.8730802189904825
0.738333828998293	8	7.790009564921192
0.8838133120007114	9	6.507740392573947
0.8361555350020353	10	6.878657557397608
0.7510589579978841	11	7.65802408553097
0.7330846210024902	12	7.845789456251671
0.6771502609990421	13	8.493871923664113
0.6434827849989233	14	8.938277330933122
0.6086322920018574	15	9.450086144926463
0.5944307509998907	16	9.675858088308502
