time	size
0.2293221129984886	10000000
0.4572241210007633	20000000
0.6967729269999836	30000000
0.9176641259982716	40000000
1.1673992729993188	50000000
1.3754715719987871	60000000
1.6241253450025397	70000000
1.8305090079993531	80000000
2.096574876002705	90000000
2.3007103169984475	100000000
2.61400220500218	110000000
2.742289580997749	120000000
3.0817057759995805	130000000
3.1988627120008464	140000000
3.448935652999353	150000000
3.676851367999916	160000000
3.947835693001253	170000000
4.176417392998701	180000000
4.396644517000823	190000000
4.596923403998517	200000000
4.881106389999331	210000000
5.047988063997764	220000000
5.316884169998957	230000000
5.537179612998444	240000000
5.849660407999182	250000000
6.027166872001544	260000000
6.220821030998195	270000000
6.448899729999539	280000000
6.697086479001883	290000000
