type	name	time	size	kind
MP Native	Cython	0.3526807939997525	90000000	MP Native Cython
Seq	Python		100000000	Seq Python
MP	Python	8.555589347000932	100000000	MP Python
Seq	Numba	1.0271109250024892	100000000	Seq Numba
Seq Fastmath	Numba	0.9548110030009411	100000000	Seq Fastmath Numba
Parallel	Numba	0.17092317399874446	100000000	Parallel Numba
Parallel Fastmath	Numba	0.14715278199946624	100000000	Parallel Fastmath Numba
MP	Numba	1.0248040489968844	100000000	MP Numba
MP Fastmath	Numba	1.1639175769996655	100000000	MP Fastmath Numba
Seq	Cython		100000000	Seq Cython
Seq Native	Cython	2.3007103169984475	100000000	Seq Native Cython
MP	Cython	6.5484230810034205	100000000	MP Cython
MP Native	Cython	0.3024558919969422	100000000	MP Native Cython
Seq	Python		110000000	Seq Python
MP	Python	8.935316056002193	110000000	MP Python
Seq	Numba	1.1204860910002026	110000000	Seq Numba
Seq Fastmath	Numba	1.042746424998768	110000000	Seq Fastmath Numba
Parallel	Numba	0.17586339999979828	110000000	Parallel Numba
Parallel Fastmath	Numba	0.15467612800057395	110000000	Parallel Fastmath Numba
MP	Numba	1.2827136420019087	110000000	MP Numba
MP Fastmath	Numba	1.0462182970004505	110000000	MP Fastmath Numba
Seq	Cython		110000000	Seq Cython
Seq Native	Cython	2.61400220500218	110000000	Seq Native Cython
MP	Cython	7.083855831002438	110000000	MP Cython
MP Native	Cython	0.3325322770033381	110000000	MP Native Cython
Seq	Python		120000000	Seq Python
MP	Python	9.793162484998902	120000000	MP Python
Seq	Numba	1.244826693997311	120000000	Seq Numba
Seq Fastmath	Numba	1.1478701279993402	120000000	Seq Fastmath Numba
Parallel	Numba	0.20046044000264374	120000000	Parallel Numba
Parallel Fastmath	Numba	0.15577991199825192	120000000	Parallel Fastmath Numba
MP	Numba	1.2240527530011605	120000000	MP Numba
MP Fastmath	Numba	1.1431588779996673	120000000	MP Fastmath Numba
Seq	Cython		120000000	Seq Cython
Seq Native	Cython	2.742289580997749	120000000	Seq Native Cython
MP	Cython	7.780903238002793	120000000	MP Cython
MP Native	Cython	0.3695699549971323	120000000	MP Native Cython
Seq	Python		130000000	Seq Python
MP	Python	10.922416121000424	130000000	MP Python
Seq	Numba	1.3370744530002412	130000000	Seq Numba
Seq Fastmath	Numba	1.234329617000185	130000000	Seq Fastmath Numba
Parallel	Numba	0.21134437500222703	130000000	Parallel Numba
Parallel Fastmath	Numba	0.18423460499980138	130000000	Parallel Fastmath Numba
MP	Numba	1.336341836999054	130000000	MP Numba
MP Fastmath	Numba	1.2450678360000893	130000000	MP Fastmath Numba
Seq	Cython		130000000	Seq Cython
Seq Native	Cython	3.0817057759995805	130000000	Seq Native Cython
MP	Cython	8.328220606003015	130000000	MP Cython
MP Native	Cython	0.40403921799952514	130000000	MP Native Cython
Seq	Python		140000000	Seq Python
MP	Python	11.347828616002516	140000000	MP Python
Seq	Numba	1.4688175809969835	140000000	Seq Numba
Seq Fastmath	Numba	1.3562114650012518	140000000	Seq Fastmath Numba
Parallel	Numba	0.2118977559985069	140000000	Parallel Numba
